S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
200,"Mahindra NuvoSport N6",Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,10.52,6.5
201,"Maruti Vitara Brezza ZDi Plus Dual Tone",Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,11.98,9
202,"Hyundai i20 Asta Option 1.2",Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,0,6
203,"Skoda Fabia 1.4 MPI Ambiente",Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5,0,2.75
204,"Tata Indigo eCS GLX",Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,0,1.5
205,"Audi Q3 2012-2015 35 TDI Quattro Premium Plus",Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,0,19.9
206,"Skoda Octavia Elegance 1.8 TSI AT",Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,0,10
207,"Toyota Etios Liva GD SP",Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,0,3
208,"Maruti Swift 1.3 VXi",Kolkata,2010,42001,Petrol,Manual,First,16.1,0,0,0,0,2.11
209,"Mercedes-Benz B Class B180",Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,0,11.96
210,"Honda Amaze S Diesel",Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,8.54,3.25
211,"Hyundai Verna 1.6 SX",Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,0,4.75
212,"Renault Duster 85PS Diesel RxL Optional",Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,0,5.95
213,"Hyundai Creta 1.6 VTVT S",Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,0,8.15
214,"Maruti Wagon R AMT VXI",Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5,0,4.22
215,"Mercedes-Benz New C-Class C250 Avantgarde",Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,0,10.5
216,"Audi A8 L 3.0 TDI quattro",Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,0,45
217,"Hyundai i10 Magna 1.1",Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,0,2.9
218,"Skoda Rapid 1.6 MPI AT Style Black Package",Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,0,8.9
219,"Skoda Superb Style 1.8 TSI AT",Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,33.58,26
220,"Hyundai i20 Active 1.2 SX",Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,0,8.22
221,"Honda Amaze VX i-DTEC",Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,0,3.5
222,"Maruti Wagon R LXI",Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,0,1.25
223,"Mahindra Verito 1.5 D4 BSIV",Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5,9.12,3.7
224,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C",Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,0,39.41
225,"Maruti Wagon R VXI",Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,5.29,2.65
226,"Nissan Terrano XV Premium 110 PS Anniversary Edition",Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,0,8.92
227,"Maruti Swift VDI BSIV",Delhi,2013,47000,Diesel,Manual,First,17.8,1248,NULL,5,0,4.1
228,"Mini Cooper Convertible S",Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,44.28,35.67
229,"Ford Figo Diesel",Bangalore,2015,70436,Diesel,Manual,First,0,1498,99,0,0,3.6
230,"Tata Indica V2 DLS BSII",Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0,0.85
231,"Chevrolet Beat LT",Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,0,3.32
232,"Volkswagen Polo Diesel Comfortline 1.2L",Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,0,3.6
233,"Maruti Swift ZDi",Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74,5,0,6.8
234,"Ford Figo Diesel EXI",Kolkata,2012,41284,Diesel,Manual,First,20,1399,68.05,5,0,2.5
235,"Toyota Innova Crysta 2.8 GX AT",Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,20.74,19.64
236,"Hyundai Santa Fe 4x4 AT",Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,0,7
237,"Honda City i-VTEC V",Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,11.74,3.87
238,"Hyundai i20 1.2 Magna Executive",Kochi,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,0,6.27
239,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C",Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,0,18.12
240,"Chevrolet Beat Diesel LT",Mumbai,2013,74000,Diesel,Manual,First,25.44,936,57.6,5,0,2.65
241,"Hyundai i20 Sportz 1.4 CRDi",Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,0,7.2
242,"Toyota Innova 2.5 Z Diesel 7 Seater",Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,0,14.3
243,"Maruti Ertiga VDI",Chennai,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,0,6.9
244,"Toyota Innova 2.5 V Diesel 7-seater",Mumbai,2014,118000,Diesel,Manual,First,12.8,2494,102,7,0,10.75
245,"Hyundai Santro Xing XO eRLX Euro II",Mumbai,2007,72000,Petrol,Manual,Third,17,1086,NULL,5,0,0.95
246,"Honda City i VTEC V",Kochi,2016,33915,Petrol,Manual,First,17.8,1497,117.3,5,0,8.09
247,"BMW X1 sDrive20d",Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995,184,5,0,18.5
248,"Hyundai Grand i10 CRDi Era",Mumbai,2017,33000,Diesel,Manual,First,24,1120,70,5,0,4.75
249,"Maruti Ciaz 1.3 Alpha",Chennai,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5,0,8.45
250,"Skoda Rapid Leisure 1.6 TDI MT",Kolkata,2012,55000,Diesel,Manual,First,20.5,1598,103.6,5,0,3.5
251,"Hyundai Accent CRDi",Kochi,2006,160538,Diesel,Manual,First,13.1,1493,82,5,0,1.8
252,"Volkswagen Polo GT 1.5 TDI",Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5,0,3.7
253,"Honda Jazz 1.2 VX i VTEC",Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199,88.7,5,0,7.17
254,"Hyundai i10 Era",Jaipur,2010,83000,Petrol,Manual,First,19.81,1086,68.05,5,0,1.75
255,"Hyundai Tucson 2.0 e-VGT 2WD AT GLS",Kochi,2018,51346,Diesel,Automatic,First,16.38,1995,183,5,0,21.99
256,"Toyota Innova Crysta 2.4 ZX MT",Pune,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7,25.52,18.65
257,"Maruti Omni MPI CARGO BSIII W/ IMMOBILISER",Jaipur,2011,35000,Petrol,Manual,Third,19.7,796,35,5,0,1.85
258,"Maruti Swift VXI BSIV",Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5,0,5.95
259,"Hyundai Grand i10 Magna",Mumbai,2014,16514,Petrol,Manual,First,18.9,1197,82,5,0,3.75
260,"Maruti Swift VDI",Pune,2012,120000,Diesel,Manual,First,22.9,1248,74,5,0,3.75
261,"Hyundai Verna CRDi 1.6 SX",Hyderabad,2008,143275,Diesel,Manual,First,22,1582,126.2,5,14.07,2.6
262,"Hyundai Santro Xing XL",Hyderabad,2006,99000,Petrol,Manual,First,0,1086,NULL,5,0,1.75
263,"Hyundai i20 1.2 Sportz",Mumbai,2010,52000,Petrol,Manual,First,17,1197,80,5,0,2.8
264,"Mercedes-Benz GLE 350d",Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,95.13,61.29
265,"Mercedes-Benz New C-Class C 220 CDI CLASSIC",Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148,170,5,0,18
266,"Maruti Ritz ZDi",Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248,73.94,5,0,4.35
267,"Hyundai Creta 1.6 CRDi SX",Bangalore,2016,28000,Diesel,Manual,First,19.67,1582,126.2,5,0,13.75
268,"Maruti A-Star Vxi",Pune,2010,67000,Petrol,Manual,First,19,998,66.1,5,0,2
269,"Renault Duster 110PS Diesel RXZ Option",Delhi,2016,26000,Diesel,Manual,First,19.64,1461,108.45,5,0,10
270,"Fiat Grande Punto 1.3 Emotion Pack (Diesel)",Delhi,2010,120000,Diesel,Manual,First,17.8,1248,76,5,0,1.65
271,"BMW X3 xDrive30d M Sport",Coimbatore,2017,51982,Diesel,Automatic,First,16.55,2993,258,5,0,45.77
272,"Hyundai i10 Sportz",Bangalore,2010,36000,Petrol,Manual,Second,20.36,1197,78.9,5,0,3.25
273,"Toyota Innova 2.5 G4 Diesel 7-seater",Pune,2016,47000,Diesel,Manual,First,12.8,2494,102,7,0,12.8
274,"Maruti Zen VXI BSII",Mumbai,2002,60000,Petrol,Manual,Third,17.3,993,60,5,0,0.55
275,"Maruti Swift VDI",Hyderabad,2018,31025,Diesel,Manual,First,28.4,1248,74,5,0,7.15
276,"Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV",Pune,2013,105000,Diesel,Manual,Second,12.05,2179,120,8,0,7
277,"Tata Zest Quadrajet 1.3 75PS XE",Pune,2017,121900,Diesel,Manual,First,22.95,1248,74,5,8.34,3.75
278,"Ford EcoSport 1.0 Ecoboost Titanium Plus",Mumbai,2017,22695,Petrol,Manual,First,18.88,999,123.24,5,0,8.5
279,"Maruti Swift Dzire ZDI",Jaipur,2012,73000,Diesel,Manual,First,23.4,1248,74,5,0,4.35
280,"Maruti Alto 800 LXI",Kochi,2016,32227,Petrol,Manual,First,22.74,796,47.3,5,0,3.26
281,"Honda City 1.5 S MT",Jaipur,2011,55000,Petrol,Manual,First,17,1497,118,5,0,4.21
282,"Audi Q7 3.0 TDI Quattro Technology",Kochi,2018,11287,Diesel,Automatic,First,12.07,2967,241.4,7,0,70.36
283,"Skoda Laura 1.9 TDI AT Ambiente",Mumbai,2009,48000,Diesel,Automatic,Second,17,1896,105,5,0,2.95
284,"Hyundai Verna 1.6 SX VTVT (O)",Kochi,2012,54308,Petrol,Manual,First,17.1,1591,121.3,5,0,4.28
285,"Honda City 1.5 V AT",Jaipur,2009,78442,Petrol,Automatic,First,16.8,1497,118,5,0,3.57
286,"Hyundai i20 Magna Optional 1.4 CRDi",Kolkata,2013,46000,Diesel,Manual,First,21.9,1396,88.8,5,0,3.11
287,"Hyundai i20 Sportz AT 1.4",Coimbatore,2014,45051,Petrol,Automatic,First,15,1396,98.6,5,0,5.96
288,"Volkswagen Vento Diesel Highline",Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598,103.6,5,0,4.7
289,"Honda City i VTEC VX",Ahmedabad,2014,49000,Petrol,Manual,First,17.4,1497,117.3,5,0,6.9
290,"Tata Zest Quadrajet 1.3 75PS XE",Pune,2018,45000,Diesel,Manual,First,22.95,1248,74,5,8.34,5.25
291,"BMW 5 Series 2003-2012 520d",Pune,2015,64000,Diesel,Automatic,First,18.48,1995,177,5,0,28
292,"Maruti Wagon R LXI Minor",Delhi,2009,60000,Petrol,Manual,First,18.9,1061,67,5,0,1.35
293,"Honda Jazz VX",Delhi,2015,62178,Petrol,Manual,First,18.2,1199,88.7,5,8.85,4.85
294,"Volkswagen Jetta 2007-2011 2.0 TDI Comfortline",Coimbatore,2012,58006,Diesel,Manual,First,15,1896,105,5,0,6.7
295,"Hyundai i10 Magna 1.2",Hyderabad,2010,74000,Petrol,Manual,First,20.36,1197,78.9,5,0,3.1
296,"Mercedes-Benz New C-Class C 220 CDI Avantgarde",Kochi,2015,77771,Diesel,Automatic,First,19.27,2143,170,5,0,18.64
297,"Hyundai i10 Magna 1.2 iTech SE",Pune,2012,45275,Petrol,Manual,First,20.36,1197,78.9,5,0,2.8
298,"Toyota Innova Crysta 2.4 ZX MT",Chennai,2016,48000,Diesel,Manual,First,13.68,2393,147.8,7,25.4,20.25
299,"Audi A6 2011-2015 2.0 TDI Technology",Kochi,2015,31652,Diesel,Automatic,First,17.68,1968,174.33,5,0,26.78
300,"Toyota Innova 2.5 VX (Diesel) 7 Seater",Hyderabad,2010,109000,Diesel,Manual,Second,12.99,2494,100.6,7,0,8.26
301,"Volkswagen Polo Petrol Trendline 1.2L",Mumbai,2015,31978,Petrol,Manual,First,16.47,1198,73.9,5,0,3.89
302,"Maruti Alto K10 LXI",Hyderabad,2011,70000,Petrol,Manual,First,20.92,998,67.1,5,0,2.1
303,"Honda City i-VTEC CVT ZX",Mumbai,2017,15000,Petrol,Automatic,First,18,1497,117.3,5,16.67,12.69
304,"Tata Indigo LX",Coimbatore,2013,59138,Diesel,Manual,First,17,1405,70,5,0,2.58
305,"Audi A6 2011-2015 2.0 TDI Premium Plus",Kochi,2014,61726,Diesel,Automatic,First,17.68,1968,174.33,5,0,20.77
306,"Mercedes-Benz GLA Class 200 CDI SPORT",Delhi,2015,48000,Diesel,Automatic,First,17.9,2143,136,5,0,20.26
307,"Hyundai Santro Xing XL",Chennai,2006,58000,Petrol,Manual,Second,0,1086,NULL,5,0,1.5
308,"Maruti Swift VDI BSIV",Kolkata,2011,60020,Diesel,Manual,First,17.8,1248,NULL,5,0,2.5
309,"Maruti Celerio VXI AT",Hyderabad,2014,77815,Petrol,Automatic,First,23.1,998,67.04,5,0,4.25
310,"Mercedes-Benz GLE 250d",Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5,79.43,57
311,"Land Rover Range Rover HSE Dynamic",Delhi,2017,44000,Diesel,Automatic,First,12.7,2179,187.7,5,0,44
312,"Volkswagen Vento Diesel Trendline",Hyderabad,2011,108626,Diesel,Manual,First,20.54,1598,103.6,5,0,3.65
313,"Maruti Omni 8 Seater BSIV",Hyderabad,2012,71791,Petrol,Manual,First,14,796,35,5,0,2.05
314,"Honda Brio 1.2 VX MT",Kochi,2012,91931,Petrol,Manual,First,18.5,1198,86.8,5,6.62,3.13
315,"Tata Sumo Delux",Hyderabad,2000,158000,Diesel,Manual,Second,14.07,2956,83.1,7,0,1.5
316,"Tata Indica Vista Aura 1.3 Quadrajet",Pune,2012,91183,Diesel,Manual,First,18,1248,75,5,0,2.85
317,"Maruti Wagon R LXI BS IV",Delhi,2012,65000,Petrol,Manual,First,18.9,998,67.1,5,0,2.65
318,"Mahindra XUV500 W8 4WD",Hyderabad,2015,88428,Diesel,Manual,First,16,2179,140,7,0,10.6
319,"Tata Indigo LS Dicor",Pune,2008,138000,Diesel,Manual,Second,17.1,1396,70,5,0,1.25
320,"Maruti Ertiga Paseo VXI",Mumbai,2018,18000,Petrol,Manual,First,16.02,1373,93.7,7,0,8.25
321,"Honda Accord 2.4 A/T",Mumbai,2011,60000,Petrol,Automatic,First,11.7,2354,177.6,5,0,4.45
322,"Maruti Swift Dzire VDi",Kolkata,2012,48000,Diesel,Manual,First,19.3,1248,73.9,5,0,3.7
323,"Ford Fiesta EXi 1.4 TDCi Ltd",Hyderabad,2009,160000,Diesel,Manual,First,17.8,1399,68,5,0,2.8
324,"Honda City ZX GXi",Kolkata,2008,40000,Petrol,Manual,First,17.7,1497,78,5,0,1.8
325,"Audi A6 2011-2015 2.0 TDI Premium Plus",Kochi,2014,51495,Diesel,Automatic,First,17.68,1968,174.33,5,0,21.95
326,"BMW 6 Series 640d Gran Coupe",Mumbai,2011,30000,Diesel,Automatic,First,9.52,2993,313,4,0,49
328,"Maruti Zen Estilo LXI Green (CNG)",Pune,2008,42496,CNG,Manual,First,26.3,998,67.1,5,0,1.4
329,"Hyundai i20 1.4 CRDi Asta",Pune,2012,83000,Diesel,Manual,First,23,1396,90,5,0,5.5
330,"Hyundai i10 Sportz AT",Bangalore,2009,37000,Petrol,Automatic,Third,16.95,1197,78.9,5,0,2.95
331,"Honda Jazz 1.2 V CVT i VTEC",Kochi,2016,28503,Petrol,Automatic,First,19,1199,88.7,5,0,6.86
332,"Maruti Swift VDI BSIV",Hyderabad,2015,76496,Diesel,Manual,First,25.2,1248,74,5,0,6.15
333,"Hyundai i20 Asta 1.2",Pune,2011,79152,Petrol,Manual,Second,18.5,1197,82.85,5,0,3.3
334,"Volkswagen Polo Petrol Comfortline 1.2L",Kolkata,2011,32000,Petrol,Manual,First,16.47,1198,73.9,5,0,2.55
335,"Maruti Alto LXi",Ahmedabad,2009,35000,Petrol,Manual,First,19.7,796,46.3,5,0,1.5
336,"Toyota Corolla H4",Chennai,2004,105000,Petrol,Automatic,Second,11.3,1794,125,5,0,2.5
337,"Maruti Alto LXi",Chennai,2006,56000,Petrol,Manual,Second,19.7,796,46.3,5,0,1.4
338,"Tata Manza ELAN Quadrajet BS IV",Pune,2012,73000,Diesel,Manual,First,21.12,1248,88.8,5,0,3.4
339,"Maruti Alto LXi",Pune,2012,38000,Petrol,Manual,First,19.7,796,46.3,5,0,2.25
340,"Skoda Octavia Ambition Plus 2.0 TDI AT",Kolkata,2013,775000,Diesel,Automatic,First,19.3,1968,141,5,0,7.5
341,"Toyota Corolla H4",Kolkata,2008,80000,Petrol,Automatic,First,11.3,1794,125,5,0,2.8
342,"Hyundai i20 Asta Option 1.2",Coimbatore,2016,24973,Petrol,Manual,First,18.6,1197,81.83,5,0,7.66
343,"Maruti Vitara Brezza LDi",Chennai,2016,45000,Diesel,Manual,First,24.3,1248,88.5,5,9.12,7.15
344,"Honda City 1.5 V MT",Delhi,2010,87430,Petrol,Manual,First,17,1497,118,5,0,3.5
345,"Tata Indica Vista Aqua 1.3 Quadrajet",Hyderabad,2014,133944,Diesel,Manual,Second,18,1248,75,5,0,3.5
346,"Honda Amaze S i-Dtech",Kolkata,2013,57000,Diesel,Manual,First,25.8,1498,98.6,5,0,3.45
347,"Hyundai EON D Lite Plus",Coimbatore,2016,27904,Petrol,Manual,First,21.1,814,55.2,5,0,3.55
348,"BMW 3 Series Luxury Line",Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995,190,5,58.67,25.99
349,"Hyundai Verna 1.6 SX",Bangalore,2012,80000,Diesel,Manual,First,22.32,1582,126.32,5,0,5.25
350,"Tata Manza Club Class Quadrajet90 LS",Ahmedabad,2013,47304,Diesel,Manual,First,21.02,1248,88.8,5,0,2.9
351,"Skoda Octavia RS",Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984,227,5,28.37,2.05
352,"Maruti Alto K10 VXI",Pune,2017,30000,Petrol,Manual,First,24.07,998,67.1,5,4.48,3.75
353,"Ford Ecosport 1.5 DV5 MT Titanium Optional",Mumbai,2014,68000,Diesel,Manual,First,22.7,1498,89.84,5,0,6.75
354,"Chevrolet Spark 1.0 LS",Kolkata,2011,21000,Petrol,Manual,Second,18,995,62,5,0,0.95
355,"Jaguar XF 2.0 Diesel Portfolio",Hyderabad,2017,21000,Diesel,Automatic,First,19.33,1999,177,5,72.64,52
356,"Honda CR-V RVi MT",Jaipur,2007,119000,Petrol,Manual,Third,13.1,1997,141.1,5,0,3.91
357,"Skoda Superb L&K 1.8 TSI AT",Kochi,2019,13747,Petrol,Automatic,First,14.67,1798,177.46,5,36.15,27.3
358,"Hyundai i10 Magna 1.2",Chennai,2009,620000,Petrol,Manual,First,20.36,1197,78.9,5,0,2.7
359,"Maruti Swift LDI",Delhi,2013,70000,Diesel,Manual,First,22.9,1248,74,5,0,3.5
360,"Maruti Swift Dzire VXi AT",Mumbai,2016,18000,Petrol,Automatic,First,18.5,1197,83.14,5,0,6.2
361,"Nissan Micra Diesel XV",Chennai,2011,83000,Diesel,Manual,First,23.08,1461,63.1,5,0,2.75
362,"Maruti Swift Dzire Tour LDI",Mumbai,2015,130000,Diesel,Manual,First,23.4,1248,74,5,0,3.25
363,"Ford Fiesta Classic 1.4 Duratorq CLXI",Pune,2012,63400,Diesel,Manual,First,17.8,1399,67,5,0,3.25
364,"Maruti Zen LX",Kolkata,2003,65000,Petrol,Manual,First,17.3,993,60,5,0,0.65
365,"Mini Clubman Cooper S",Pune,2017,8350,Petrol,Manual,First,13.8,1998,192,5,44.59,35
366,"Toyota Etios GD",Kolkata,2014,45000,Diesel,Manual,First,23.59,1364,67.05,5,0,3.25
367,"Maruti Alto 800 2016-2019 LXI",Kolkata,2018,26200,Petrol,Manual,First,24.7,796,47.3,5,0,2.9
368,"Maruti Alto VXi",Bangalore,2011,11000,Petrol,Manual,Third,18.9,796,47,5,0,2.9
369,"BMW X5 3.0d",Bangalore,2009,90000,Diesel,Automatic,Second,11,2993,235,5,0,17.75
370,"Nissan Teana XV",Mumbai,2015,74000,Petrol,Automatic,Second,11.07,2496,179.5,5,0,8.25
371,"Hyundai Grand i10 AT Asta",Coimbatore,2015,37081,Petrol,Automatic,First,18.9,1197,82,5,0,5.77
372,"Maruti Vitara Brezza ZDi Plus",Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248,88.5,5,12,9.49
373,"Audi Q7 3.0 TDI Quattro Premium Plus",Mumbai,2008,99000,Diesel,Automatic,Third,12.07,2967,241.4,7,0,12.95
374,"Mercedes-Benz GLA Class 200 CDI",Chennai,2015,38000,Diesel,Automatic,First,17.9,2143,136,5,0,20
375,"Maruti 800 AC",Chennai,2007,72000,Petrol,Manual,Third,16.1,796,37,4,0,1
376,"Renault Duster 85PS Diesel RxL",Chennai,2015,93000,Diesel,Manual,Second,20.45,1461,83.8,5,0,7.1
377,"Toyota Corolla Altis D-4D GL",Mumbai,2017,5900,Diesel,Manual,First,21.43,1364,87.2,5,0,16.5
378,"Mercedes-Benz New C-Class 220",Chennai,2014,25000,Diesel,Manual,First,15.8,2148,170,5,0,26
379,"Maruti Ritz VDi",Hyderabad,2010,68000,Diesel,Manual,Second,21.1,1248,73.9,5,0,3.2
380,"Honda BRV i-VTEC V CVT",Kochi,2017,35676,Petrol,Automatic,First,16,1497,117.3,7,14.65,9.48
381,"Hyundai Xcent 1.1 CRDi Base",Kochi,2015,74310,Diesel,Manual,First,24.4,1120,71,5,0,4
382,"Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde",Jaipur,2014,59364,Diesel,Automatic,First,14.21,2143,203,5,0,26.5
383,"Mercedes-Benz B Class B180",Kochi,2014,41380,Petrol,Automatic,Second,14.8,1595,120.7,5,0,11.77
384,"Mercedes-Benz E-Class 2015-2017 E250 Edition E",Bangalore,2017,33900,Diesel,Automatic,First,15,2143,204,5,0,37
385,"Honda City i VTEC VX Option",Mumbai,2016,28000,Petrol,Manual,First,17.8,1497,117.3,5,0,8.75
386,"Hyundai Santro Xing XL eRLX Euro III",Hyderabad,2007,50958,Petrol,Manual,First,17,1086,NULL,5,0,1.95
387,"Honda City 1.5 S MT",Chennai,2011,93982,Petrol,Manual,First,17,1497,118,5,0,3.75
388,"Hyundai Verna Transform VTVT",Pune,2010,95000,Petrol,Manual,First,16.2,1599,103.2,5,0,2.5
389,"Jaguar XE Portfolio",Mumbai,2017,9000,Petrol,Automatic,First,13.5,1999,246.74,5,53.72,34.5
390,"Honda Amaze S i-Vtech",Delhi,2015,52516,Petrol,Manual,First,18,1198,86.7,5,0,4.65
391,"Mini Cooper Convertible 1.6",Bangalore,2015,20000,Petrol,Automatic,First,18.86,1598,122,4,0,32
392,"Mercedes-Benz S Class 2005 2013 S 350 CDI",Coimbatore,2017,56451,Diesel,Automatic,First,13.5,2987,282,5,0,62.81
393,"Hyundai EON Magna Plus",Chennai,2014,37000,Petrol,Manual,First,21.1,814,55.2,5,0,3.25
394,"Maruti Wagon R VXI BS IV",Kolkata,2014,17400,Petrol,Manual,First,20.51,998,67.04,5,0,3.1
395,"Maruti Ritz LDi",Coimbatore,2011,90207,Diesel,Manual,First,21.1,1248,73.9,5,0,3.91
396,"BMW 3 Series 320d Sedan",Chennai,2011,89616,Diesel,Automatic,First,16.07,1995,181,5,0,11
397,"Tata Xenon XT EX 4X2",Pune,2014,85000,Diesel,Manual,First,13.49,2179,138.03,5,0,3.5
398,"Audi A3 35 TDI Attraction",Chennai,2014,79271,Diesel,Automatic,First,20.38,1968,143,5,0,16.5
399,"Land Rover Range Rover 2.2L Dynamic",Hyderabad,2012,56000,Diesel,Automatic,First,12.7,2179,187.7,5,0,30
400,"Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury",Pune,2010,85001,Diesel,Automatic,Second,12,2987,224,7,0,28
