S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
601,"Toyota Corolla Altis VL AT",Bangalore,2018,1331,Petrol,Automatic,First,14.28,1798,138.03,5,0,20
602,"Maruti Omni 8 Seater BSII",Pune,2010,60000,Petrol,Manual,First,19.7,796,35,8,0,1.45
603,"Mercedes-Benz GLC 220d 4MATIC Style",Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143,170,5,59.77,48.5
604,"Volkswagen Vento 1.5 TDI Highline AT",Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498,108.5,5,15.86,9.45
605,"Mahindra XUV500 W10 2WD",Ahmedabad,2015,73000,Diesel,Manual,First,16,2179,140,7,0,12.5
606,"Nissan Terrano XL 85 PS",Hyderabad,2014,59962,Diesel,Manual,First,20.45,1461,83.8,5,0,6.9
607,"Hyundai Verna 1.6 SX CRDi (O)",Jaipur,2012,72000,Diesel,Manual,Second,22.32,1582,126.32,5,0,5.8
608,"BMW 5 Series 2013-2017 530d M Sport",Coimbatore,2016,20967,Diesel,Automatic,First,14.69,2993,258,5,0,44.56
609,"Mahindra Scorpio S4 Plus",Bangalore,2015,35000,Diesel,Manual,Second,15.4,2179,120,7,0,8.5
610,"Hyundai Verna 1.6 CRDi SX",Coimbatore,2017,38056,Diesel,Manual,First,23.9,1582,126.2,5,0,10.7
611,"Audi Q7 3.0 TDI Quattro Premium Plus",Pune,2009,94000,Diesel,Automatic,Second,12.07,2967,241.4,7,0,12
612,"Chevrolet Aveo U-VA 1.2 LT",Coimbatore,2010,64236,Petrol,Manual,First,14.7,1150,76,5,0,2.44
613,"Mahindra Bolero ZLX BSIII",Kolkata,2000,124000,Diesel,Manual,First,13.6,2523,63,7,0,1.95
614,"Hyundai Xcent 1.2 Kappa S",Mumbai,2014,7400,Petrol,Manual,First,19.1,1197,82,5,0,4.35
615,"Toyota Innova Crysta 2.4 GX MT 8S",Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393,147.8,8,19.43,17.5
616,"Hyundai EON Era Plus",Hyderabad,2015,68764,Petrol,Manual,First,21.1,814,55.2,5,0,2.9
617,"Volkswagen Polo Diesel Comfortline 1.2L",Delhi,2013,64000,Diesel,Manual,First,22.07,1199,73.9,5,0,2.9
618,"Maruti Vitara Brezza ZDi",Pune,2016,21558,Diesel,Manual,First,24.3,1248,88.5,5,10.65,8.9
619,"BMW 3 Series 320d Prestige",Mumbai,2013,37500,Diesel,Automatic,First,18.88,1995,184,5,0,16.75
620,"Hyundai EON Sportz",Coimbatore,2016,14077,Petrol,Manual,First,21.1,814,55.2,5,0,3.95
621,"Honda City 1.5 S MT",Mumbai,2009,70000,Petrol,Manual,First,17,1497,118,5,0,2.1
622,"Honda Accord 2.4 MT",Kochi,2011,54316,Petrol,Manual,Second,12.8,2354,177.6,5,0,4.29
623,"Mahindra Xylo E8",Hyderabad,2009,90764,Diesel,Manual,First,14,2498,112,8,0,3.85
624,"BMW 3 Series 320d",Chennai,2009,137000,Diesel,Automatic,Second,13.2,1995,170,5,0,9
625,"Honda City V MT",Pune,2013,127000,Petrol,Manual,Second,16.8,1497,116.3,5,0,4.5
626,"Mahindra XUV500 W10 2WD",Kochi,2016,51884,Diesel,Manual,First,16,2179,140,7,0,12.46
627,"Hyundai i20 Asta 1.4 CRDi",Delhi,2014,67407,Diesel,Manual,First,21.27,1396,88.76,5,0,4.65
628,"Toyota Fortuner 4x2 Manual",Hyderabad,2014,107825,Diesel,Manual,First,13,2982,168.5,7,0,20.5
629,"Mahindra Bolero DI BSII",Chennai,2006,82453,Diesel,Manual,First,13.6,2523,63,8,0,2.9
630,"Maruti Esteem Vxi - BSIII",Chennai,2007,30441,Petrol,Manual,First,15.9,1298,85,5,0,1.45
631,"Hyundai Santro LS zipPlus",Chennai,2002,70000,Petrol,Manual,Third,0,1086,NULL,5,0,0.65
632,"Mini Cooper 5 DOOR D",Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496,113.98,5,42.12,29.5
633,"Audi Q3 35 TDI Quattro Premium",Hyderabad,2015,61000,Diesel,Automatic,First,15.73,1968,174.33,5,0,25
634,"Hyundai i20 Sportz Option",Delhi,2013,48454,Petrol,Manual,Second,17,1197,80,5,0,3.5
635,"Tata Safari Storme VX Varicor 400",Jaipur,2017,37000,Diesel,Manual,First,14.1,2179,154,7,16.95,11.25
636,"Honda BR-V i-DTEC VX MT",Kochi,2017,32249,Diesel,Manual,First,21.9,1498,98.6,7,15.45,10.79
637,"Volkswagen Jetta 2013-2015 2.0L TDI Highline",Kolkata,2013,58000,Diesel,Manual,First,19.33,1968,138.03,5,0,5.9
638,"Hyundai Xcent 1.2 Kappa S Option",Jaipur,2017,28360,Petrol,Manual,First,19.1,1197,81.86,5,0,5.12
639,"Maruti Ignis 1.2 Alpha",Mumbai,2017,7000,Petrol,Manual,First,20.89,1197,81.8,5,7.87,5.7
640,"BMW 5 Series 2013-2017 520d Luxury Line",Coimbatore,2016,19658,Diesel,Automatic,First,18.12,1995,190,5,0,35.84
641,"Ford Ikon 1.3 CLXi",Hyderabad,2007,92000,Petrol,Manual,First,13.8,1299,70,5,0,1.25
642,"Hyundai i10 Sportz",Kolkata,2013,25000,Petrol,Manual,First,20.36,1197,78.9,5,0,2.65
643,"Hyundai Verna 1.6 CRDI",Coimbatore,2016,37882,Diesel,Manual,First,22.32,1582,126.3,5,0,9.19
644,"BMW 3 Series 320d Highline",Bangalore,2014,69330,Diesel,Automatic,First,16.07,1995,181,5,0,23.5
645,"Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency",Delhi,2011,61000,Petrol,Automatic,First,12.3,1796,185,5,0,12.5
646,"Chevrolet Beat Option Pack",Kolkata,2010,35000,Petrol,Manual,Second,18.6,1199,79.4,5,0,1.5
647,"Hyundai Santro Xing XP",Jaipur,2004,200000,Petrol,Manual,First,0,1086,NULL,5,0,0.8
648,"Tata Indica DLS",Jaipur,2009,82000,Diesel,Manual,Second,13.5,1405,NULL,5,0,0.75
649,"Mahindra XUV500 W8 2WD",Delhi,2012,72450,Diesel,Manual,First,15.1,2179,140,7,0,8.1
650,"Maruti Ciaz ZDi Plus SHVS",Jaipur,2017,36381,Diesel,Manual,First,28.09,1248,88.5,5,0,9.75
651,"Mercedes-Benz New C-Class C 250 CDI Avantgarde",Coimbatore,2017,25559,Diesel,Automatic,First,19.71,2143,201.15,5,0,37.93
652,"Honda City ZX CVT",Chennai,2005,100000,Petrol,Automatic,Third,16.4,1497,78,5,0,1.96
653,"Toyota Fortuner 4x2 4 Speed AT",Jaipur,2015,94000,Diesel,Automatic,First,11.5,2982,169,7,0,20.5
654,"Maruti Alto K10 VXI",Bangalore,2011,64357,Petrol,Manual,First,24.07,998,67.1,5,4.7,2.75
655,"Jaguar XJ 2.0L Portfolio",Mumbai,2017,10501,Petrol,Automatic,First,9.43,1999,237.4,5,0,75
656,"Hyundai i20 1.4 Magna ABS",Chennai,2009,47000,Diesel,Manual,First,21.9,1396,90,5,0,2.8
657,"Honda BRV i-VTEC V CVT",Mumbai,2017,18000,Petrol,Automatic,First,16,1497,117.3,7,15.02,9.25
658,"Toyota Corolla Executive (HE)",Chennai,2007,89000,Petrol,Manual,First,13.4,1794,125,5,0,3
659,"Audi A6 2011-2015 2.0 TDI Premium Plus",Coimbatore,2014,49964,Diesel,Automatic,First,17.68,1968,174.33,5,0,23.89
660,"Toyota Innova 2.5 ZX Diesel 7 Seater BSIII",Mumbai,2014,35000,Diesel,Manual,First,12.99,2494,100.6,7,0,12.75
661,"Hyundai Grand i10 CRDi Sportz",Jaipur,2014,64000,Diesel,Manual,First,24,1120,70,5,0,4.15
662,"Volkswagen Vento IPL II Petrol Highline AT",Mumbai,2013,36000,Petrol,Automatic,First,14.8,1598,105,5,0,4.65
663,"Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV",Delhi,2012,78600,Diesel,Manual,First,12.8,2494,102,7,0,8.9
664,"Hyundai Verna CRDi SX",Jaipur,2008,170000,Diesel,Manual,Second,16.8,1493,110,5,0,1.5
665,"Maruti Ritz VDi",Pune,2015,65000,Diesel,Manual,Second,23.2,1248,73.94,5,0,3.27
666,"Audi Q7 3.0 TDI Quattro Technology",Pune,2008,120300,Diesel,Automatic,Second,12.07,2967,241.4,7,0,18
667,"Hyundai i20 Asta Option 1.2",Pune,2016,21000,Petrol,Manual,First,18.6,1197,81.83,5,0,6.3
668,"Maruti Vitara Brezza ZDi Plus Dual Tone",Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248,88.5,5,12.56,11.31
669,"Honda City i VTEC S",Pune,2014,58407,Petrol,Manual,First,17.4,1497,117.3,5,0,6.16
670,"Maruti Ciaz ZXi",Pune,2014,49500,Petrol,Manual,First,20.73,1373,91.1,5,0,6
671,"Nissan Sunny XV CVT",Kochi,2013,37199,Petrol,Automatic,First,17.5,1498,99.6,5,11.33,5.43
672,"Volkswagen Polo Diesel Highline 1.2L",Hyderabad,2012,62000,Diesel,Manual,First,22.07,1199,73.9,5,0,4.65
673,"Maruti Ertiga ZDI",Hyderabad,2015,59000,Diesel,Manual,First,20.77,1248,88.8,7,0,7.5
674,"Maruti Swift Dzire VDI",Jaipur,2015,60000,Diesel,Manual,First,26.59,1248,74,5,0,6.25
675,"Mercedes-Benz New C-Class C 220 CDI Elegance AT",Bangalore,2007,39037,Diesel,Automatic,First,14.84,2143,170,5,0,9.25
676,"Honda Brio S MT",Mumbai,2013,17003,Petrol,Manual,First,19.4,1198,86.8,5,0,3.15
677,"Hyundai i10 Magna Optional 1.1L",Hyderabad,2008,80400,Petrol,Manual,First,16,1086,66.7,5,0,2.3
678,"Hyundai Verna 1.6 SX CRDi (O)",Jaipur,2012,75200,Diesel,Manual,First,22.32,1582,126.32,5,0,5.25
679,"Maruti Ciaz VDI SHVS",Kochi,2017,41217,Diesel,Manual,First,28.09,1248,88.5,5,0,7.4
680,"Ford Ikon 1.3 Flair",Pune,2006,98293,Petrol,Manual,Second,13.8,1299,70,5,0,1.55
681,"Volkswagen Polo 1.2 MPI Highline",Pune,2017,54000,Petrol,Manual,Second,16.2,1199,74,5,0,6
682,"Honda Jazz 1.2 V i VTEC",Chennai,2016,17377,Petrol,Manual,First,18.7,1199,88.7,5,0,5.9
683,"Honda Amaze EX i-Dtech",Bangalore,2013,33800,Diesel,Manual,Second,25.8,1498,98.6,5,0,4.7
684,"Hyundai i20 Asta 1.4 CRDi",Hyderabad,2015,86157,Diesel,Manual,First,22.54,1396,88.73,5,0,6.5
685,"Maruti Ritz VDi",Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248,73.9,5,0,3.55
686,"Honda City V MT",Chennai,2014,55000,Petrol,Manual,First,16.8,1497,116.3,5,0,7.1
687,"Skoda Superb 1.8 TSI MT",Hyderabad,2010,53293,Petrol,Manual,First,13.14,1798,160,5,0,6
688,"Maruti Vitara Brezza LDi Option",Pune,2017,38000,Diesel,Manual,First,24.3,1248,88.5,5,0,7.99
689,"Hyundai i20 Asta",Bangalore,2009,64000,Petrol,Manual,Second,17,1197,80,5,0,4.1
690,"Maruti Alto K10 VXI AGS",Hyderabad,2017,25058,Petrol,Automatic,First,24.07,998,67.1,5,0,3.95
691,"Hyundai EON Era Plus",Kochi,2016,36700,Petrol,Manual,First,21.1,814,55.2,5,0,4.38
692,"Hyundai i10 Sportz",Mumbai,2011,35000,Petrol,Manual,First,20.36,1197,78.9,5,0,2.75
693,"Mercedes-Benz SLK-Class SLK 350",Coimbatore,2016,22732,Petrol,Automatic,First,18.1,3498,306,2,0,55.54
694,"Audi A6 2.0 TDI Design Edition",Hyderabad,2014,48000,Diesel,Automatic,First,18.53,1968,187.74,5,0,29
695,"Ford EcoSport 1.5 TDCi Titanium",Bangalore,2013,62084,Diesel,Manual,First,22.77,1498,98.59,5,0,6.6
696,"Volkswagen Passat Highline DSG",Kolkata,2012,39273,Diesel,Automatic,First,14.3,1968,140,5,0,6.99
697,"Toyota Innova Crysta 2.4 ZX MT",Bangalore,2017,64798,Diesel,Manual,First,13.68,2393,147.8,7,26.45,18.75
698,"Ford Figo Diesel ZXI",Jaipur,2010,100002,Diesel,Manual,Third,20,1399,68,5,0,1.28
699,"Chevrolet Aveo 1.4",Pune,2006,78000,Petrol,Manual,Third,14.49,1399,92.7,5,0,1.2
700,"Maruti Ritz LXi",Coimbatore,2013,57717,Petrol,Manual,First,18.5,1197,85.8,5,0,4.31
701,"Land Rover Freelander 2 SE",Chennai,2011,109000,Diesel,Automatic,First,12.39,2179,147.51,5,0,16.5
702,"Hyundai Grand i10 Asta",Coimbatore,2017,74515,Petrol,Manual,First,18.9,1197,82,5,0,5.64
703,"Ford Endeavour 3.2 Trend AT 4X4",Coimbatore,2017,50484,Diesel,Automatic,First,10.91,3198,197.2,7,0,31.12
704,"Audi Q5 2008-2012 2.0 TDI",Kochi,2013,13452,Diesel,Automatic,First,12.8,1968,167.6,5,0,25.46
705,"Hyundai Verna 1.6 VTVT",Kochi,2017,37688,Petrol,Manual,First,17.01,1591,121.3,5,0,7.88
706,"Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde",Chennai,2017,34000,Diesel,Automatic,First,13,2143,204,5,0,36
707,"Mercedes-Benz M-Class ML 350 4Matic",Pune,2014,120000,Diesel,Automatic,First,0,2987,165,5,0,30
708,"Maruti Swift Dzire ZXi",Pune,2008,64000,Petrol,Manual,Second,17.5,1298,85.8,5,0,2.85
709,"Honda City 1.3 EXI S",Delhi,2011,100000,Petrol,Manual,First,13,1343,90,5,0,3.5
710,"Renault Duster 85PS Diesel RxL Optional",Jaipur,2014,75000,Diesel,Manual,First,20.46,1461,83.8,5,0,7.5
711,"Mercedes-Benz New C-Class 220 CDI AT",Hyderabad,2012,86000,Diesel,Automatic,First,14.84,2143,170,5,0,19
712,"BMW X5 xDrive 30d Design Pure Experience 5 Seater",Hyderabad,2015,69000,Diesel,Automatic,First,15.97,2993,258,5,0,54
713,"Hyundai Xcent 1.2 Kappa SX Option",Kochi,2015,41721,Petrol,Manual,First,19.1,1197,82,5,0,4.7
714,"Maruti Dzire AMT ZXI Plus",Hyderabad,2017,13000,Petrol,Automatic,First,22,1197,81.8,5,10.34,8.5
715,"BMW 3 Series 320d Corporate Edition",Kolkata,2013,38998,Diesel,Automatic,First,16.07,1995,181,4,0,17
716,"Maruti Alto 800 LXI",Kochi,2017,54250,Petrol,Manual,First,22.74,796,47.3,5,0,3.51
717,"Audi A4 2.0 TDI 177 Premium Plus",Bangalore,2013,45979,Diesel,Automatic,Second,17.11,1968,174.33,5,0,19.5
718,"Mini Cooper S",Pune,2012,37000,Petrol,Automatic,Second,13.6,1598,181,4,0,17
719,"Audi Q7 3.0 TDI Quattro Premium Plus",Coimbatore,2015,46983,Diesel,Automatic,Second,12.07,2967,241.4,7,0,43.35
720,"Chevrolet Beat Diesel LT",Bangalore,2012,40700,Diesel,Manual,First,25.44,936,57.6,5,0,2.65
721,"Maruti Wagon R LXI BS IV",Kochi,2015,43828,Petrol,Manual,First,20.51,998,67.04,5,0,3.52
722,"Nissan Terrano XV Premium 110 PS",Kolkata,2016,53000,Diesel,Manual,First,19.01,1461,108.5,5,0,6.25
723,"BMW 3 Series 320d Luxury Plus",Ahmedabad,2015,100000,Diesel,Automatic,First,18.88,1995,184,5,0,24.75
724,"Maruti Swift Dzire VXI",Mumbai,2015,19000,Petrol,Manual,First,20.85,1197,83.14,5,0,5.25
725,"Skoda Yeti Elegance 4X2",Jaipur,2016,84000,Diesel,Manual,First,17.72,1968,108.5,5,0,11
726,"Ford EcoSport 1.5 Ti VCT AT Titanium",Kochi,2018,37630,Petrol,Automatic,First,15.63,1499,110.4,5,0,9.1
727,"Hyundai i20 1.2 Magna",Chennai,2010,67714,Petrol,Manual,First,18.5,1197,80,5,0,3.25
728,"Maruti S Cross DDiS 200 Sigma Option",Pune,2017,32000,Diesel,Manual,First,15,1248,88.5,5,0,8.5
729,"Hyundai Verna Transform VTVT",Pune,2010,51000,Petrol,Manual,First,16.2,1599,103.2,5,0,3.1
730,"BMW 3 Series 320d Luxury Line",Kochi,2015,58390,Diesel,Automatic,First,18.88,1995,184,5,0,19.86
731,"Hyundai Grand i10 1.2 CRDi Magna",Kolkata,2017,14000,Diesel,Manual,First,24,1186,73.97,5,7.46,4.9
732,"Honda City i-VTEC V",Delhi,2014,55818,Petrol,Manual,Second,17.4,1497,117.3,5,11.85,5.7
733,"Maruti Swift 1.3 VXi",Chennai,2006,97800,Petrol,Manual,Third,16.1,0,0,0,0,1.75
734,"Maruti Swift VDI BSIV",Kolkata,2012,52241,Diesel,Manual,First,25.2,1248,74,5,0,2.9
735,"Maruti Baleno Zeta 1.3",Coimbatore,2018,25433,Diesel,Manual,First,27.39,1248,74,5,0,7.83
736,"Tata Safari Storme 2012-2015 LX",Kochi,2015,40611,Diesel,Manual,First,14,2179,138.1,7,0,8.15
737,"Hyundai Accent GLS",Bangalore,2008,72000,Petrol,Manual,Second,13.2,1495,94,5,0,2
738,"Maruti Swift LDI SP Limited Edition",Hyderabad,2016,54631,Diesel,Manual,First,25.2,1248,74,5,0,6.25
739,"Maruti Swift VDI BSIV",Bangalore,2007,60000,Diesel,Manual,Second,17.8,1248,NULL,5,0,3.4
740,"Tata Nano XTA",Coimbatore,2016,24941,Petrol,Automatic,First,21.9,624,37.48,4,0,3.19
741,"Maruti Ertiga VDI",Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248,88.5,7,10.41,7.75
742,"Maruti Celerio VXI AMT",Delhi,2014,35214,Petrol,Automatic,Second,23.1,998,67.04,5,5.57,3.2
743,"Maruti Swift VDI BSIV",Delhi,2015,63000,Diesel,Manual,First,25.2,1248,74,5,0,4.9
744,"Volkswagen Vento Petrol Highline",Kochi,2012,121377,Petrol,Manual,First,15.04,1598,103.6,5,0,3.8
745,"Volkswagen Jetta 2007-2011 1.9 Highline TDI",Chennai,2009,100970,Diesel,Automatic,First,15.5,1896,105,5,0,4
746,"Mini Cooper 5 DOOR D",Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496,113.98,5,42.48,23.5
747,"Tata Indica V2 DLS",Chennai,2008,77650,Diesel,Manual,First,17.2,1396,53.5,5,0,1.15
748,"Hyundai Santro Xing XO",Hyderabad,2007,71297,Petrol,Manual,First,17,1086,NULL,5,0,2.2
749,"Land Rover Range Rover 3.0 D",Mumbai,2008,55001,Diesel,Automatic,Second,0,0,0,0,0,26.5
750,"Honda City i-VTEC CVT VX",Bangalore,2015,18955,Petrol,Automatic,First,18,1497,117.3,5,16.04,10.65
751,"Jaguar XF 2.2 Litre Luxury",Coimbatore,2016,47877,Diesel,Automatic,First,16.36,2179,187.7,5,0,35.68
752,"Mercedes-Benz E-Class 2015-2017 E250 Edition E",Kochi,2017,43368,Diesel,Automatic,First,15,2143,204,5,0,31.94
753,"Chevrolet Cruze LTZ",Chennai,2011,73000,Diesel,Manual,Third,18.3,1991,147.9,5,0,4.2
754,"Mahindra XUV500 W8 2WD",Ahmedabad,2015,72007,Diesel,Manual,First,15.1,2179,140,7,0,9.9
755,"Mercedes-Benz New C-Class C 200 CGI Avantgarde",Kochi,2014,56778,Petrol,Automatic,First,11.74,1796,186,5,0,15.46
756,"Honda Jazz VX",Kochi,2018,20024,Petrol,Manual,First,18.2,1199,88.7,5,9.1,8.46
757,"Toyota Etios G",Kolkata,2013,42103,Petrol,Manual,First,16.78,1496,88.73,5,0,3.25
758,"Maruti Alto LXi BSIII",Hyderabad,2012,67147,Petrol,Manual,First,19.7,796,46.3,5,0,2.6
759,"Maruti Swift VXI BSIV",Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197,81.8,5,0,5.2
760,"Maruti A-Star Vxi",Pune,2009,85000,Petrol,Manual,Third,19,998,66.1,5,0,1.8
761,"Tata Nano Lx BSIV",Chennai,2011,35000,Petrol,Manual,First,25.4,624,37.48,4,0,1.6
762,"Ford Figo Titanium Diesel",Kolkata,2015,72035,Diesel,Manual,First,25.5,1498,99,5,7.65,2.5
763,"Fiat Linea Emotion",Jaipur,2011,48500,Petrol,Manual,First,16,1368,90,5,0,2.5
764,"Ford Figo Aspire 1.2 Ti-VCT Trend",Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196,86.8,5,0,6.7
765,"Maruti Baleno LXI",Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590,94,5,0,1.2
766,"BMW 3 Series 320d Luxury Line",Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995,184,5,0,35.55
767,"Chevrolet Cruze LTZ",Jaipur,2017,51087,Diesel,Manual,First,17.9,1998,163.7,5,0,7.75
768,"Mahindra Scorpio 2.6 DX",Chennai,2005,50000,Diesel,Manual,First,12.7,2609,116.6,8,0,1.94
769,"Tata Indica V2 eLS",Hyderabad,2016,73000,Diesel,Manual,First,25,1396,69,5,0,2.2
770,"Chevrolet Cruze LTZ AT",Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991,147.9,4,0,3.8
771,"Toyota Innova 2.5 V Diesel 8-seater",Chennai,2016,50000,Diesel,Manual,First,12.8,2494,102,8,0,15.65
772,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C",Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143,167.62,5,0,39.47
773,"Maruti Ritz VXi",Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197,85.8,5,0,1.5
774,"Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV",Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494,102,8,0,8.85
775,"Toyota Fortuner 4x4 MT",Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982,168.5,7,0,17.9
776,"Hyundai i10 Sportz AT",Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197,78.9,5,0,5.08
777,"Hyundai Verna 1.6 SX",Bangalore,2012,67000,Diesel,Manual,First,22.32,1582,126.32,5,0,6.25
778,"Audi Q3 2012-2015 35 TDI Quattro Premium Plus",Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968,174.33,5,0,22.75
779,"Chevrolet Beat LS",Kolkata,2010,17088,Petrol,Manual,First,18.6,1199,79.4,5,0,1.46
780,"Ford Fiesta 1.4 Duratorq ZXI",Pune,2007,112808,Diesel,Manual,Second,17.8,1399,68,5,0,2.05
781,"Ford Figo Diesel EXI",Coimbatore,2014,74980,Diesel,Manual,First,20,1399,68,5,0,4.08
782,"Maruti Celerio VXI AT",Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998,67.04,5,0,4.55
783,"Mercedes-Benz A Class A180 CDI",Mumbai,2013,37000,Diesel,Automatic,First,20,2143,107.3,5,0,14
784,"Hyundai Creta 1.6 SX",Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591,121.3,5,13.74,10.9
785,"Maruti Wagon R VXI BS IV",Bangalore,2010,81245,Petrol,Manual,First,18.9,998,67.1,5,0,2.45
786,"Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde",Delhi,2013,70000,Diesel,Automatic,First,10,2148,170,5,0,15.8
787,"Ford EcoSport 1.5 Ti VCT MT Titanium BE",Mumbai,2017,4018,Petrol,Manual,First,18.88,1499,110.4,5,0,8.25
788,"Renault Koleos 2.0 Diesel",Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995,148,5,0,8.5
789,"Mahindra XUV500 W10 2WD",Coimbatore,2016,56532,Diesel,Manual,First,16,2179,140,7,0,15.54
790,"Maruti Omni E 8 Str STD",Hyderabad,2013,26875,Petrol,Manual,First,16.8,796,34.2,8,0,2.35
791,"Maruti Wagon R VXI",Coimbatore,2015,72599,Petrol,Manual,First,22.5,998,67.04,5,5.72,4.32
792,"Ford Endeavour XLT TDCi 4X2",Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499,141,7,0,3.9
793,"Hyundai Verna 1.6 SX",Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582,126.32,5,0,5.2
794,"Hyundai i20 Magna 1.2",Mumbai,2018,19500,Petrol,Manual,First,18.6,1197,81.83,5,0,5.85
795,"Maruti Ertiga ZXI",Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373,93.7,7,0,6.25
796,"Mahindra XUV500 W9 AT",Coimbatore,2019,19654,Diesel,Automatic,First,14,2179,155,7,21.33,17.63
797,"Maruti SX4 S Cross DDiS 200 Zeta",Mumbai,2017,26000,Diesel,Manual,First,23.65,1248,88.5,5,0,9.75
798,"Mercedes-Benz SLK-Class SLK 350",Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498,306,2,0,55
799,"Volkswagen Polo Diesel Comfortline 1.2L",Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199,73.9,5,0,4.1
800,"Toyota Fortuner 4x4 MT",Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7,0,11.99
